sample-id	input	filtered	percentage of input passed filter	denoised	non-chimeric	percentage of input non-chimeric									
PBS_1	136174	115997	85.18	115388	112915	82.92									
PBS_2	116410	96718	83.08	96264	92350	79.33									
PBS_3	100235	82966	82.77	82376	81380	81.19									
PBS_4	133096	120085	90.22	119340	116408	87.46									
PBS_5	149759	129939	86.77	128285	126009	84.14									
SynMock	7653997	6613884	86.41	6592464	5067784	66.21									
TE_1	23637	18474	78.16	17996	17713	74.94									
TE_2	142274	123109	86.53	122478	118006	82.94									
TE_3	108729	97574	89.74	97229	96762	88.99									
TE_4	81399	68460	84.1	67812	66664	81.9									
TE_5	162836	140042	86	139530	134959	82.88									
